song_id,song_name,song_songer,song_publishTime,sentiment,confidence,positive_prob,negative_prob
1476449942,卫星Satellite (Live),李佳隆,1.60E+12,-1,0.494765,0.227356,0.772644
1477562583,这圈子是个trap,Mc光光,1.60E+12,-1,0.48289,0.232699,0.767301
501082522,凌晨两点半,Round_2,1.50E+12,1,0.631591,0.834216,0.165784
1426022013,黑马王子,马思唯,1.58E+12,1,0.622603,0.830171,0.169829
364899,归,龙井说唱,1.19E+12,-1,0.990278,0.00437482,0.995625
1384562517,红色,幼稚园杀手,1.57E+12,1,0.810527,0.914737,0.0852628
358462,十年,黄金年代,1.21E+12,1,0.63844,0.837298,0.162702
26577096,心魔,西米,1.33E+12,0,0.169917,0.541504,0.458496
442518718,挂念,爽子,1.48E+12,1,0.75596,0.890182,0.109818
1357815628,佳人,鬼卞,1.56E+12,-1,0.219314,0.351309,0.648691
542906780,长河,大傻DamnShine,1.52E+12,1,0.992115,0.996452,0.00354823
28987167,一个人,幼稚园杀手,1.39E+12,1,0.992485,0.996618,0.00338167
31168104,夜三里,龙井说唱 孙旭,1.43E+12,1,0.98707,0.994182,0.00581837
28258150,中国人,大囍门,1.10E+12,1,0.999106,0.999598,0.000402218
1377785184,斗地主,刘聪KEY.L,1.56E+12,-1,0.950658,0.0222041,0.977796
183315,凡人歌,幼稚园杀手,1.28E+12,1,0.980358,0.991161,0.00883903
1294889948,模特儿,安全着陆,1.53E+12,1,0.522572,0.785157,0.214843
33984984,穷孩子,龍胆紫/PurpleSoul,1.37E+12,1,0.395465,0.727959,0.272041
1493730798,219,D26,1.60E+12,-1,0.679413,0.144264,0.855736
1488985556,Free throw,法老,1.60E+12,-1,0.976154,0.0107305,0.989269
1488985590,科幻小说,法老,1.60E+12,-1,0.967136,0.0147889,0.985211
1462923102,午夜伤心电台,艾热 AIR,1.59E+12,1,0.340535,0.703241,0.296759
1475637391,Moonlight,lil MILK,1.60E+12,-1,0.434,0.2547,0.7453
1467105436,天使与魔鬼,幼稚园杀手,1.60E+12,-1,0.98368,0.00734375,0.992656
1488990367,逃学威龙,法老,1.60E+12,-1,0.971249,0.012938,0.987062
1477284514,你想要的他,9 Tribez,1.60E+12,0,0.474738,0.473737,0.526263
1296645941,皇帝的新衣?(Skr),AR（刘夫阳）,1.53E+12,-1,0.985021,0.00674064,0.993259
1298655068,“End?of?the?world”,高天佐Trouble.Z,1.53E+12,1,0.287108,0.679198,0.320802
34964309,φ.凶宅,熊仔,1.44E+12,-1,0.0436899,0.430339,0.56966
1318571230,很高兴认识你,C-BLOCK,1.54E+12,1,0.998445,0.9993,0.000699589
1358758825,Back To Back（安，氧，Feat. Al Rocco）,深蓝儿童,1.56E+12,-1,0.481433,0.233355,0.766645
559675214,Cray?(feat.?Gold?Medals,,,,,,
1397096044,Battle,姜云升,1.57E+12,-1,0.193178,0.36307,0.63693
1364418034,丢人吗？（by：yondo）,连麻Swimming,1.56E+12,-1,0.974746,0.0113643,0.988636
1474910755,Pretties,EnMoon1,1.60E+12,1,0.827515,0.922382,0.0776184
1470684990,GANG BAND 2020 CYPHER,ayingotthesauce,1.60E+12,1,0.554539,0.799542,0.200458
1472142000,少数派2020CYPHER,少数派Minority Crew,1.60E+12,-1,0.95709,0.0193094,0.980691
1464587383,2020 Hongshan Park Cypher,小肆,1.60E+12,-1,0.986895,0.00589707,0.994103
1462024315,SMG MIX 2020 CYPHER,SMG（SubMachine Gun）,1.59E+12,-1,0.112497,0.399376,0.600624
1457574395,伙聚,JD,1.59E+12,0,0.413967,0.529302,0.470698
1457069087,1SHOT CYPHER 2020,Cee,1.59E+12,-1,0.389129,0.274892,0.725108
1450931141,西部燥音cypher2020,西部燥音,1.59E+12,-1,0.666739,0.149967,0.850033
1444140174,成都集团2020cypher (Prod. by HARIKIRI),成都集团,1.59E+12,-1,0.999926,3.32E-05,0.999967
1438432253,Bilibili 2020 Cypher,Spylent,1.59E+12,-1,0.653234,0.156045,0.843955
1374043675,大风起,顺德,1.56E+12,-1,0.973118,0.012097,0.987903
1413387394,地下之光,Basehead,1.58E+12,-1,0.892757,0.0482594,0.951741
1387017231,自下而上 Bottom-Up Cypher #1,王大痣,1.57E+12,-1,0.963704,0.0163331,0.983667
1394155242,红色-山河版,法老,1.57E+12,1,0.999899,0.999955,4.53E-05
1359717856,挑战challenge,那吾克热-NW,1.56E+12,-1,0.714136,0.128639,0.871361
1398654392,Y.M.C Cypher Ⅰ,夜楠H.,1.57E+12,1,0.34033,0.703149,0.296851
424496705,GIMME?5,NOUS,1.47E+12,-1,0.930635,0.0312143,0.968786
425100644,TIKI?TAKA,NOUS,1.47E+12,1,0.397953,0.729079,0.270921
1420292777,UNTITLED,辛巴,1.58E+12,-1,0.969398,0.0137709,0.986229
1306507665,再见Hip-Hop,张震岳,1.54E+12,1,0.980981,0.991441,0.00855873
525016797,水木道,宿涵,1.51E+12,0,0.781581,0.510921,0.489079
1298416297,Still Motherfxxka(Prod.by DAO),西奥Sio,1.52E+12,-1,0.853683,0.0658428,0.934157
865738683,盗亦有道,大傻DamnShine,1.53E+12,-1,0.96723,0.0147465,0.985254
1299604534,独一无二,吕大叶,1.53E+12,-1,0.476577,0.23554,0.76446
1305289168,Tokyo Luv Ⅱ,桑尼,1.54E+12,1,0.778317,0.900243,0.0997571
