song_id,song_name,song_songer,song_publishTime,sentiment,confidence,positive_prob,negative_prob
426026646,Work (Derra Flip),Derra,1463846400007,1,0.911763,0.960293,0.0397068
1490802900,Don't Change You,Rock Mafia,1603987200000,1,0.940027,0.973012,0.0269878
1492222693,Where I'm From (feat. Wiz Khalifa),Lukas Graham,1604505600000,1,0.974766,0.988645,0.0113552
1479957770,The Thrill,Wiz Khalifa,1605024000000,1,0.987623,0.99443,0.00556959
1419169283,Diva,The Kid LAROI,1580400000000,1,0.252133,0.66346,0.33654
1480303099,Back It Up,Lil Tecca,1600358400000,1,0.985206,0.993343,0.00665748
16536433,Kingstep,Bomfunk MC's,1197820800000,1,0.96538,0.984421,0.015579
5041598,R.O.O.T.S,Flo Rida,1251907200007,1,0.988796,0.994958,0.00504181
543798032,Bad JuJu,Tech N9ne,1519920000000,1,0.85125,0.933062,0.0669375
17565951,Goodbye To You (+ Dot Rotten),Ed Sheeran,1315497600000,1,0.933923,0.970266,0.0297345
19192103,My Life,Slaughterhouse,1345996800000,1,0.488248,0.769712,0.230288
27076066,Wrath Of Kane (Vocal Version),Big Daddy Kane,820425600004,1,0.952586,0.978664,0.0213365
420154654,No Cut,Snow tha Product,1466092800000,1,0.89602,0.953209,0.0467911
18613862,December 4th,Jay-Z,1069113600000,1,0.961223,0.98255,0.0174498
28936351,Cool 2 Be Southern,Big K.R.I.T.,1374854400007,1,0.936353,0.971359,0.0286412
1940090,Awesome,XV,1317744000007,1,0.976647,0.989491,0.0105086
19197314,Thugs Get Lonely Too,Tupac,1116777600000,1,0.984218,0.992898,0.00710177
17572316,Never Enough,Eminem,1100188800000,1,0.892232,0.951504,0.0484956
431096775,'97 Leo,Young Lungs,1493596800000,1,0.896654,0.953494,0.0465058
1297633,Space Bound (Dirty),Eminem,1291046400007,1,0.971302,0.987086,0.012914
511332133,Lie,NF,1507219200007,1,0.98142,0.991639,0.00836094
1306385780,Good Guy,Eminem,1535644800000,1,0.933701,0.970165,0.0298346
17572553,When I'm Gone,Eminem,1133798400000,1,0.977103,0.989696,0.0103038
21614604,I Wanna **** You,Snoop Dogg,1164038400007,1,0.945551,0.975498,0.0245019
1298432425,SICKO MODE,Travis Scott,1533254400000,1,0.967562,0.985403,0.0145969
1468972262,WAP (feat. Megan Thee Stallion),Cardi B,1596729600000,1,0.984666,0.9931,0.00690048
557623644,This Is America,Childish Gambino,1525708800007,1,0.999197,0.999639,0.00036146
1338149101,Believer,Imagine Dragons,1546790400000,1,0.96856,0.985852,0.014148
1407895557,The Box,Roddy Ricch,1575561600000,1,0.968796,0.985958,0.0140419
1382666583,223's,YNW Melly,1565280000000,1,0.928428,0.967793,0.0322073
862098103,Freestyle Rip XXX,Parsalip,1529337600007,1,0.993233,0.996955,0.00304498
1391665603,TITANIC (feat. Rich Brian),王嘉尔,1571932800000,1,0.970633,0.986785,0.0132152
427595614,Bad and Boujee,Migos,1477584000000,1,0.982729,0.992228,0.00777217
1356795124,Old Town Road (Remix),Lil Nas X,1554393600000,1,0.967358,0.985311,0.0146889
545350938,NUMB,XXXTENTACION,1521158400000,1,0.930262,0.968618,0.031382
557557186,Lucid Dreams,Juice WRLD,1525363200000,1,0.907385,0.958323,0.0416768
519250197,Coincidance (抖肩舞),Handsome Dancer,1554048000000,1,0.959157,0.981621,0.0183792
459925763,Take It All In,Russ,1487001600000,1,0.93117,0.969026,0.0309736
27591655,Lost Good Things,陈光荣,1120406400007,1,0.986102,0.993746,0.0062541
501467216,Papillon,王嘉尔,1503676800000,1,0.971739,0.987283,0.0127174
438801442,JULY,吴亦凡,1478448000007,1,0.990607,0.995773,0.00422674
1308194194,RAP DEVIL,Machine Gun Kelly,1536336000000,1,0.938983,0.972542,0.0274579
1453614559,Elaineylly,HOPERUI,1591450020873,1,0.0967586,0.593541,0.406459
1449116720,☆═━┈,HOPERUI,1590249600000,1,0.286616,0.678977,0.321023
1490187501,你 願 意 從 頭 再 來 一 次 嗎,歪门,1603721104683,-1,0.896335,0.0466491,0.953351
1460454115,霂,HOPERUI,1593950078591,-1,0.697121,0.136296,0.863705
533343413,雫,Funton,1592755200000,1,0.980317,0.991143,0.00885721
493319719,夜光,逆时针向,1501070118581,1,0.980317,0.991143,0.00885721
1351774831,桔梗,Seto,1552544397268,-1,0.998779,0.000549575,0.99945
524148990,Warm,Dre'es,1508342400000,1,0.985323,0.993396,0.00660453
1411258523,luv u 2,Seto,1576944000000,1,0.921204,0.964542,0.0354581
1443224426,夏雨季,WR-锐,1587744000000,1,0.650099,0.842545,0.157455
801827,Bamboo,Piano Master,1279065600000,1,0.980317,0.991143,0.00885721
22683858,原始の森,Dropの小屋。,1268496000000,1,0.980317,0.991143,0.00885721
1385635545,冯虚御风,变奏的梦想,1566374694633,1,0.980317,0.991143,0.00885721
1351096175,astronaut.,go missing,1552208059411,1,0.980317,0.991143,0.00885721
468176711,城南花已开,三亩地,1490467972036,1,0.980317,0.991143,0.00885721
1425409332,沧海不可期,彭柏德,1582375592730,1,0.980317,0.991143,0.00885721
1384026889,所念皆星河,CMJ,1565723309596,1,0.980317,0.991143,0.00885721
1348896822,所爱隔山海,CMJ,1551288708418,1,0.980317,0.991143,0.00885721
1313474211,灯火不完美,smile丶轩,1538064000000,1,0.980317,0.991143,0.00885721
519870772,纯纯的夏天,LIKPIA,1511106659714,1,0.980317,0.991143,0.00885721
440464202,Unforgettable,French Montana,1491494400007,1,0.971079,0.986985,0.0130147
542092475,Powerglide,Rae Sremmurd,1519833600007,1,0.985397,0.993428,0.00657151
29378529,No Type,Rae Sremmurd,1408896000007,1,0.488248,0.769712,0.230288
552448606,CLOSE (From SR3MM),Rae Sremmurd,1523980800007,1,0.966884,0.985098,0.0149023
551970341,Guatemala (From Swaecation),Rae Sremmurd,1523376000007,1,0.961971,0.982887,0.0171131
536870478,The Ways,Khalid,1518105600007,1,0.986312,0.99384,0.00615976
30621924,Go Hard or Go Home,Wiz Khalifa,1426521600000,1,0.982292,0.992031,0.00796864
542407010,Hurt To Look,Swae Lee,1519833600007,1,0.983247,0.992461,0.00753894
554380302,1Night,PARTYNEXTDOOR,1524758400007,1,0.987009,0.994154,0.00584583
555328066,Show Off,Casey Veggies,1524153600000,1,0.979995,0.990998,0.00900221
555974038,Better Now,Post Malone,1524758400007,1,0.980529,0.991238,0.00876213
1300624909,WORKIN ME,Quavo,1533830400000,1,0.952678,0.978705,0.0212949
1376076711,el Diablo,Machine Gun Kelly,1562256000000,1,0.958501,0.981325,0.0186747
467590594,Gang Up,Young Thug,1492099200000,1,0.981379,0.991621,0.00837931
454698347,In My Foreign,The Americanos,1484841600007,1,0.939372,0.972717,0.0272827
542697130,Everyday,Logic,1519920000007,1,0.967469,0.985361,0.0146389
462895657,Young Dumb & Broke,Khalid,1488470400000,1,0.981891,0.991851,0.00814917
