,DATE,Pre-Corona,First Wave,Second Wave
0,October,3.6,,
1,November,3.5,,
2,December,3.5,,
3,January,3.6,,
4,February,3.5,,
5,March,,4.4,
6,April,,14.7,
7,May,,13.3,
8,June,,11.1,
9,July,,,10.2
10,August,,,8.4
11,September,,,7.9
